0900 1730
2022-04-30 10:17:06 EMP001
2022-04-30 10:40 1
2022-04-30 10:17:06 EMP002
2022-04-30 12:40 2
2022-04-30 10:17:06 EMP003
2022-04-30 16:00 1
2022-04-30 10:17:06 EMP004
2022-04-30 06:40 2
2022-04-30 10:17:06 EMP005
2022-05-01 06:40 1
2022-04-30 10:17:06 EMP006
2022-04-30 08:40 5
2022-04-30 10:17:06 EMP007
2022-04-30 08:40 2
2022-05-01 10:17:06 EMP008
2022-05-01 23:40 2
2022-05-01 10:17:06 EMP009
2022-05-02 09:40 1
2022-04-30 10:17:06 EMP0010
2022-04-30 04:40 2
2022-04-30 10:17:06 EMP0011
2022-04-30 09:00 1
2022-04-05 10:17:06 EMP0012
2022-04-05 15:30 2
2022-04-05 10:17:06 EMP0013
2022-04-05 14:30 1
2022-04-04 10:17:06 EMP014
2022-04-04 09:40 1
2022-04-04 10:17:06 EMP1330
2022-04-04 12:23 1
